district,transportation,power_supply,water_supply,commercial_space,infrastructure_index
Mumbai,9.1,8.7,8.3,9.5,8.9
Delhi,8.8,8.5,8.1,9.3,8.7
Bangalore,9.2,8.9,8.4,9.6,9.0
Chennai,8.6,8.2,7.9,8.9,8.4
Hyderabad,8.5,8.3,8.0,8.8,8.4
Kolkata,8.0,7.6,7.4,8.1,7.8
Pune,8.7,8.4,8.2,8.7,8.5
Ahmedabad,8.2,8.0,7.7,8.3,8.1
Jaipur,7.8,7.5,7.2,7.6,7.5
Lucknow,7.5,7.2,6.9,7.4,7.3
Chandigarh,8.1,7.9,7.7,8.0,7.9
Indore,7.7,7.4,7.1,7.5,7.4
Nagpur,7.6,7.3,7.0,7.3,7.3
Bhopal,7.4,7.1,6.8,7.2,7.1
Visakhapatnam,7.5,7.2,7.0,7.3,7.2
Kochi,8.2,7.9,7.8,8.0,8.0
Coimbatore,7.9,7.6,7.4,7.7,7.7
Guwahati,7.2,6.9,6.6,7.0,6.9
Bhubaneswar,7.3,7.0,6.8,7.1,7.0
Dehradun,7.1,6.8,6.7,6.9,6.9
